Description,Speciality
I have blurred vision and depression,Neurologist
I have cough and high fever,Urologist
I have dizziness and headache,Urologist
I have toothache and headache,Pediatrician
I have lower back pain and hair loss,Dermatologist
I have depression and high fever,Urologist
I have sore throat and trouble seeing,Urologist
I have weight loss and lower back pain,Dermatologist
I have fatigue and swelling,Urologist
I have depression and persistent rash,Pulmonologist
I have headache and irregular menstrual cycle,Orthopedic Surgeon
I have sore throat and dizziness,Psychiatrist
I have joint pain and hair loss,Neurologist
I have hair loss and headache,Ophthalmologist
I have high fever and fatigue,Gastroenterologist
I have difficulty breathing and depression,Orthopedic Surgeon
I have anxiety and high fever,Pediatrician
I have persistent rash and trouble seeing,Dentist
I have palpitations and blurred vision,Cardiologist
I have sore throat and irregular menstrual cycle,Dentist
I have swelling and nausea,Gynecologist
I have nausea and skin itching,Psychiatrist
I have chest pain and skin itching,Orthopedic Surgeon
I have hair loss and sore throat,Cardiologist
I have shortness of breath and lower back pain,Pediatrician
I have fatigue and trouble seeing,Neurologist
I have palpitations and chest pain,Pulmonologist
I have chest pain and joint pain,Cardiologist
I have chest pain and difficulty breathing,Urologist
I have joint pain and cough,Endocrinologist
I have fatigue and difficulty breathing,Neurologist
I have blurred vision and irregular menstrual cycle,Neurologist
I have joint pain and swelling,Psychiatrist
I have blurred vision and high fever,Psychiatrist
I have shortness of breath and sore throat,Neurologist
I have hair loss and persistent rash,Urologist
I have trouble seeing and trouble seeing,Neurologist
I have lower back pain and toothache,Oncologist
I have stomach pain and cough,Cardiologist
I have weight loss and dizziness,Oncologist
I have joint pain and hair loss,Gastroenterologist
I have shortness of breath and persistent rash,Pulmonologist
I have persistent rash and anxiety,Psychiatrist
I have depression and chest pain,Urologist
I have palpitations and palpitations,Gynecologist
I have fatigue and high fever,Psychiatrist
I have palpitations and blurred vision,Pulmonologist
I have persistent rash and anxiety,Endocrinologist
I have trouble seeing and difficulty breathing,Gastroenterologist
I have anxiety and swelling,Ophthalmologist
I have weight loss and toothache,ENT Specialist
I have trouble seeing and blurred vision,Psychiatrist
I have anxiety and dizziness,Endocrinologist
I have skin itching and skin itching,Dentist
I have headache and nausea,Gastroenterologist
I have palpitations and trouble seeing,Gynecologist
I have depression and persistent rash,Neurologist
I have weight loss and joint pain,Gastroenterologist
I have trouble seeing and irregular menstrual cycle,Urologist
I have stomach pain and headache,Neurologist
I have anxiety and hair loss,ENT Specialist
I have cough and hair loss,Endocrinologist
I have lower back pain and skin itching,Gynecologist
I have palpitations and weight loss,Pediatrician
I have swelling and sore throat,Cardiologist
I have trouble seeing and stomach pain,Cardiologist
I have trouble seeing and sore throat,Gynecologist
I have sore throat and irregular menstrual cycle,Gynecologist
